Provinsi,Pegawai Negeri Sipil (PNS) - Golongan - II,Pegawai Negeri Sipil (PNS) - Golongan - III,Pegawai Negeri Sipil (PNS) - Golongan - IV,Pegawai Negeri Sipil (PNS) - Subjml,Bukan PNS,Jumlah,Status
Prov. D.K.I. Jakarta,211,8553,1839,10603,3959,14562,Negeri
Prov. Jawa Barat,1049,38433,24798,64280,49656,113936,Negeri
Prov. Jawa Tengah,995,50513,16028,67536,13881,81417,Negeri
Prov. D.I. Yogyakarta,111,5945,2404,8460,1615,10075,Negeri
Prov. Jawa Timur,1518,49020,17186,67724,23157,90881,Negeri
Prov. Aceh,543,13194,6842,20579,15625,36204,Negeri
Prov. Sumatera Utara,1188,24557,12101,37846,25634,63480,Negeri
Prov. Sumatera Barat,464,14545,7010,22019,7577,29596,Negeri
Prov. Riau,1122,13636,5500,20258,9239,29497,Negeri
Prov. Jambi,587,8183,3242,12012,7991,20003,Negeri
Prov. Sumatera Selatan,1264,15880,7213,24357,10486,34843,Negeri
Prov. Lampung,810,13436,7319,21565,17352,38917,Negeri
Prov. Kalimantan Barat,753,11873,4797,17423,9945,27368,Negeri
Prov. Kalimantan Tengah,334,8437,5057,13828,4409,18237,Negeri
Prov. Kalimantan Selatan,504,10215,3928,14647,4166,18813,Negeri
Prov. Kalimantan Timur,633,7619,2708,10960,3941,14901,Negeri
Prov. Sulawesi Utara,468,4751,1787,7006,4067,11073,Negeri
Prov. Sulawesi Tengah,1105,8994,3272,13371,6620,19991,Negeri
Prov. Sulawesi Selatan,740,17930,11704,30374,15934,46308,Negeri
Prov. Sulawesi Tenggara,234,8040,3611,11885,8507,20392,Negeri
Prov. Maluku,1472,6169,1152,8793,4740,13533,Negeri
Prov. Bali,103,6070,3929,10102,3101,13203,Negeri
Prov. Nusa Tenggara Barat,449,9364,4406,14219,15779,29998,Negeri
Prov. Nusa Tenggara Timur,1694,11831,2345,15870,13156,29026,Negeri
Prov. Papua,382,1634,580,2596,1627,4223,Negeri
Prov. Bengkulu,132,4057,2948,7137,4622,11759,Negeri
Prov. Maluku Utara,708,4440,888,6036,4336,10372,Negeri
Prov. Banten,669,12877,5220,18766,11590,30356,Negeri
Prov. Kepulauan Bangka Belitung,94,4413,639,5146,927,6073,Negeri
Prov. Gorontalo,135,2848,1245,4228,1661,5889,Negeri
Prov. Kepulauan Riau,224,3901,653,4778,964,5742,Negeri
Prov. Papua Barat,158,1237,251,1646,1029,2675,Negeri
Prov. Sulawesi Barat,383,3815,1652,5850,5210,11060,Negeri
Prov. Kalimantan Utara,183,2256,539,2978,1294,4272,Negeri
Luar Negeri,0,25,3,28,319,347,Negeri
Prov. Papua Tengah,204,954,270,1428,1206,2634,Negeri
Prov. Papua Selatan,222,971,203,1396,1065,2461,Negeri
Prov. Papua Pegunungan,220,957,83,1260,2087,3347,Negeri
Prov. Papua Barat Daya,86,915,369,1370,885,2255,Negeri
Prov. D.K.I. Jakarta,1,33,7,41,15421,15462,Swasta
Prov. Jawa Barat,4,98,49,151,38353,38504,Swasta
Prov. Jawa Tengah,6,80,6,92,17620,17712,Swasta
Prov. D.I. Yogyakarta,2,45,39,86,5406,5492,Swasta
Prov. Jawa Timur,3,62,4,69,25199,25268,Swasta
Prov. Aceh,2,43,27,72,2735,2807,Swasta
Prov. Sumatera Utara,5,74,16,95,19240,19335,Swasta
Prov. Sumatera Barat,2,35,23,60,4864,4924,Swasta
Prov. Riau,1,36,22,59,9114,9173,Swasta
Prov. Jambi,3,12,6,21,2182,2203,Swasta
Prov. Sumatera Selatan,0,34,18,52,6029,6081,Swasta
Prov. Lampung,1,15,6,22,5640,5662,Swasta
Prov. Kalimantan Barat,2,16,17,35,3545,3580,Swasta
Prov. Kalimantan Tengah,0,55,58,113,2521,2634,Swasta
Prov. Kalimantan Selatan,1,14,11,26,2386,2412,Swasta
Prov. Kalimantan Timur,2,13,1,16,3944,3960,Swasta
Prov. Sulawesi Utara,187,1450,853,2490,3036,5526,Swasta
Prov. Sulawesi Tengah,83,382,163,628,1463,2091,Swasta
Prov. Sulawesi Selatan,4,105,104,213,5037,5250,Swasta
Prov. Sulawesi Tenggara,1,21,18,40,820,860,Swasta
Prov. Maluku,534,1674,302,2510,871,3381,Swasta
Prov. Bali,1,15,9,25,2730,2755,Swasta
Prov. Nusa Tenggara Barat,2,14,0,16,3257,3273,Swasta
Prov. Nusa Tenggara Timur,566,3951,1279,5796,9768,15564,Swasta
Prov. Papua,212,572,185,969,1652,2621,Swasta
Prov. Bengkulu,0,7,0,7,1762,1769,Swasta
Prov. Maluku Utara,104,450,75,629,553,1182,Swasta
Prov. Banten,2,26,3,31,12425,12456,Swasta
Prov. Kepulauan Bangka Belitung,0,4,0,4,1004,1008,Swasta
Prov. Gorontalo,2,20,14,36,296,332,Swasta
Prov. Kepulauan Riau,0,3,0,3,4867,4870,Swasta
Prov. Papua Barat,97,493,88,678,665,1343,Swasta
Prov. Sulawesi Barat,1,4,0,5,329,334,Swasta
Prov. Kalimantan Utara,0,0,0,0,651,651,Swasta
Luar Negeri,0,2,0,2,148,150,Swasta
Prov. Papua Tengah,161,324,75,560,1731,2291,Swasta
Prov. Papua Selatan,186,438,112,736,773,1509,Swasta
Prov. Papua Pegunungan,58,239,61,358,663,1021,Swasta
Prov. Papua Barat Daya,81,573,130,784,791,1575,Swasta
